2026-06-10 11:47:16 [http-nio-9329-exec-5] INFO  dblogger - DB check – organisation existence | email=admin@htitech.com
2026-06-10 11:47:16 [http-nio-9329-exec-5] INFO  dblogger - DB insert – saving organisation | name=HTI Technologies Pvt Ltd
2026-06-10 11:47:16 [http-nio-9329-exec-5] INFO  dblogger - DB insert – organisation saved successfully | id=8a578f7b-11f8-48c0-8267-eacb1279a319
2026-06-10 11:48:09 [http-nio-9329-exec-7] INFO  dblogger - DB select – fetching organisation by id | id=8a578f7b-11f8-48c0-8267-eacb1279a319
2026-06-10 11:48:09 [http-nio-9329-exec-7] INFO  dblogger - DB select – organisation fetched successfully | id=8a578f7b-11f8-48c0-8267-eacb1279a319
2026-06-10 11:49:49 [http-nio-9329-exec-9] INFO  dblogger - DB select – fetching organisation for update | id=8a578f7b-11f8-48c0-8267-eacb1279a319
2026-06-10 11:49:49 [http-nio-9329-exec-9] INFO  dblogger - DB update – saving organisation | id=8a578f7b-11f8-48c0-8267-eacb1279a319
2026-06-10 11:49:49 [http-nio-9329-exec-9] INFO  dblogger - DB update – organisation saved successfully | id=8a578f7b-11f8-48c0-8267-eacb1279a319
2026-06-10 11:51:37 [http-nio-9329-exec-1] INFO  dblogger - DB select – fetching organisation by id | id=8a578f7b-11f8-48c0-8267-eacb1279a319
2026-06-10 11:51:37 [http-nio-9329-exec-1] INFO  dblogger - DB select – organisation fetched successfully | id=8a578f7b-11f8-48c0-8267-eacb1279a319
2026-06-10 11:54:43 [http-nio-9329-exec-3] INFO  dblogger - DB check – organisation existence | email=admin@nimbusanalytics.com
2026-06-10 11:54:44 [http-nio-9329-exec-3] INFO  dblogger - DB insert – saving organisation | name=Nimbus Analytics Solutions Pvt Ltd
2026-06-10 11:54:44 [http-nio-9329-exec-3] INFO  dblogger - DB insert – organisation saved successfully | id=68d93fd8-3dda-4ded-b822-594de7560492
2026-06-10 11:55:05 [http-nio-9329-exec-4] INFO  dblogger - DB select – fetching organisation for soft delete | id=68d93fd8-3dda-4ded-b822-594de7560492
2026-06-10 11:55:05 [http-nio-9329-exec-4] INFO  dblogger - DB update – soft deleting organisation | id=68d93fd8-3dda-4ded-b822-594de7560492
2026-06-10 11:55:05 [http-nio-9329-exec-4] INFO  dblogger - DB update – organisation soft deleted successfully | id=68d93fd8-3dda-4ded-b822-594de7560492
2026-06-10 11:55:15 [http-nio-9329-exec-5] INFO  dblogger - DB select – fetching organisation by id | id=68d93fd8-3dda-4ded-b822-594de7560492
2026-06-10 11:55:15 [http-nio-9329-exec-5] ERROR dblogger - DB select – organisation is soft deleted | id=68d93fd8-3dda-4ded-b822-594de7560492
2026-06-10 11:56:43 [http-nio-9329-exec-7] INFO  dblogger - DB check – organisation existence | email=admin@oriondigital.com
2026-06-10 11:56:43 [http-nio-9329-exec-7] INFO  dblogger - DB insert – saving organisation | name=Orion Digital Solutions Pvt Ltd
