2026-06-09 13:05:54 [main] INFO  tracklogger - Organisation Service Started Successfully
2026-06-09 13:07:06 [http-nio-9329-exec-4] INFO  tracklogger - Create organisation request received | name=HTI Technologies
2026-06-09 13:07:07 [http-nio-9329-exec-4] INFO  tracklogger - Organisation created successfully | id=8c14b740-f829-47e1-bca8-98606d0e68d2 name=HTI Technologies
2026-06-09 13:07:52 [http-nio-9329-exec-8] INFO  tracklogger - Fetching organisations | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-09 13:07:52 [http-nio-9329-exec-8] INFO  tracklogger - Organisations fetched successfully | totalElements=1
2026-06-09 13:08:11 [http-nio-9329-exec-7] INFO  tracklogger - Fetching organisation | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:08:11 [http-nio-9329-exec-7] INFO  tracklogger - Organisation fetched successfully | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:09:06 [http-nio-9329-exec-9] INFO  tracklogger - Fetching organisations | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-09 13:09:06 [http-nio-9329-exec-9] INFO  tracklogger - Organisations fetched successfully | totalElements=1
2026-06-09 13:14:11 [http-nio-9329-exec-6] INFO  tracklogger - Updating organisation | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:14:11 [http-nio-9329-exec-6] INFO  tracklogger - Organisation updated successfully | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:15:28 [http-nio-9329-exec-2] INFO  tracklogger - Updating organisation | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:15:28 [http-nio-9329-exec-2] INFO  tracklogger - Organisation updated successfully | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:16:30 [http-nio-9329-exec-4] INFO  tracklogger - Creating entity metadata | orgId=8c14b740-f829-47e1-bca8-98606d0e68d2 entityType=Department
2026-06-09 13:16:30 [http-nio-9329-exec-4] INFO  tracklogger - Entity metadata created successfully | id=74b8c6a2-9dad-4b76-8a7c-2c6a7fb02ade
2026-06-09 13:16:49 [http-nio-9329-exec-5] INFO  tracklogger - Fetching entity metadata | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-09 13:16:50 [http-nio-9329-exec-5] INFO  tracklogger - Entity metadata fetched successfully | totalElements=1
2026-06-09 13:17:26 [http-nio-9329-exec-8] INFO  tracklogger - Fetching entity metadata | id=74b8c6a2-9dad-4b76-8a7c-2c6a7fb02ade
2026-06-09 13:17:26 [http-nio-9329-exec-8] INFO  tracklogger - Entity metadata fetched successfully | id=74b8c6a2-9dad-4b76-8a7c-2c6a7fb02ade
2026-06-09 13:17:50 [http-nio-9329-exec-7] INFO  tracklogger - Fetching entity metadata by orgId | orgId=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:17:50 [http-nio-9329-exec-7] INFO  tracklogger - Entity metadata fetched successfully | orgId=8c14b740-f829-47e1-bca8-98606d0e68d2 count=1
2026-06-09 13:18:29 [http-nio-9329-exec-9] INFO  tracklogger - Fetching entity metadata by entityType | entityType=Department
2026-06-09 13:18:29 [http-nio-9329-exec-9] INFO  tracklogger - Entity metadata fetched successfully | entityType=Department count=1
2026-06-09 13:19:19 [http-nio-9329-exec-10] INFO  tracklogger - Fetching entity metadata | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-09 13:19:19 [http-nio-9329-exec-10] INFO  tracklogger - Entity metadata fetched successfully | totalElements=1
2026-06-09 13:21:03 [http-nio-9329-exec-1] INFO  tracklogger - Updating entity metadata | id=74b8c6a2-9dad-4b76-8a7c-2c6a7fb02ade
2026-06-09 13:21:03 [http-nio-9329-exec-1] INFO  tracklogger - Entity metadata updated successfully | id=74b8c6a2-9dad-4b76-8a7c-2c6a7fb02ade
2026-06-09 13:21:31 [http-nio-9329-exec-2] INFO  tracklogger - Updating entity metadata | id=74b8c6a2-9dad-4b76-8a7c-2c6a7fb02ade
2026-06-09 13:21:31 [http-nio-9329-exec-2] INFO  tracklogger - Entity metadata updated successfully | id=74b8c6a2-9dad-4b76-8a7c-2c6a7fb02ade
2026-06-09 13:23:37 [http-nio-9329-exec-4] INFO  tracklogger - Creating entity | orgId=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:23:37 [http-nio-9329-exec-4] INFO  tracklogger - Entity created successfully | id=23298143-1d94-4972-b127-4634af18c105
2026-06-09 13:24:10 [http-nio-9329-exec-5] INFO  tracklogger - Fetching organisation entities | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-09 13:24:10 [http-nio-9329-exec-5] INFO  tracklogger - Organisation entities fetched successfully | totalElements=1
2026-06-09 13:24:53 [http-nio-9329-exec-8] INFO  tracklogger - Fetching organisation entities | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-09 13:24:53 [http-nio-9329-exec-8] INFO  tracklogger - Organisation entities fetched successfully | totalElements=1
2026-06-09 13:25:57 [http-nio-9329-exec-9] INFO  tracklogger - Fetching entity | id=23298143-1d94-4972-b127-4634af18c105
2026-06-09 13:25:57 [http-nio-9329-exec-9] INFO  tracklogger - Entity fetched successfully | id=23298143-1d94-4972-b127-4634af18c105
