2026-06-10 11:46:14 [main] INFO  tracklogger - Organisation Service Started Successfully
2026-06-10 11:47:16 [http-nio-9329-exec-5] INFO  tracklogger - Create organisation request received | name=HTI Technologies Pvt Ltd
2026-06-10 11:47:16 [http-nio-9329-exec-5] INFO  tracklogger - Organisation created successfully | id=8a578f7b-11f8-48c0-8267-eacb1279a319 name=HTI Technologies Pvt Ltd
2026-06-10 11:47:50 [http-nio-9329-exec-6] INFO  tracklogger - Fetching organisations | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-10 11:47:50 [http-nio-9329-exec-6] INFO  tracklogger - Organisations fetched successfully | totalElements=1
2026-06-10 11:48:09 [http-nio-9329-exec-7] INFO  tracklogger - Fetching organisation | id=8a578f7b-11f8-48c0-8267-eacb1279a319
2026-06-10 11:48:09 [http-nio-9329-exec-7] INFO  tracklogger - Organisation fetched successfully | id=8a578f7b-11f8-48c0-8267-eacb1279a319
2026-06-10 11:49:49 [http-nio-9329-exec-9] INFO  tracklogger - Updating organisation | id=8a578f7b-11f8-48c0-8267-eacb1279a319
2026-06-10 11:49:49 [http-nio-9329-exec-9] INFO  tracklogger - Organisation updated successfully | id=8a578f7b-11f8-48c0-8267-eacb1279a319
2026-06-10 11:51:37 [http-nio-9329-exec-1] INFO  tracklogger - Fetching organisation | id=8a578f7b-11f8-48c0-8267-eacb1279a319
2026-06-10 11:51:37 [http-nio-9329-exec-1] INFO  tracklogger - Organisation fetched successfully | id=8a578f7b-11f8-48c0-8267-eacb1279a319
2026-06-10 11:54:43 [http-nio-9329-exec-3] INFO  tracklogger - Create organisation request received | name=Nimbus Analytics Solutions Pvt Ltd
2026-06-10 11:54:44 [http-nio-9329-exec-3] INFO  tracklogger - Organisation created successfully | id=68d93fd8-3dda-4ded-b822-594de7560492 name=Nimbus Analytics Solutions Pvt Ltd
2026-06-10 11:55:05 [http-nio-9329-exec-4] INFO  tracklogger - Soft deleting organisation | id=68d93fd8-3dda-4ded-b822-594de7560492
2026-06-10 11:55:05 [http-nio-9329-exec-4] INFO  tracklogger - Organisation soft deleted successfully | id=68d93fd8-3dda-4ded-b822-594de7560492
2026-06-10 11:55:15 [http-nio-9329-exec-5] INFO  tracklogger - Fetching organisation | id=68d93fd8-3dda-4ded-b822-594de7560492
2026-06-10 11:55:15 [http-nio-9329-exec-5] ERROR tracklogger - Organisation is deleted | id=68d93fd8-3dda-4ded-b822-594de7560492
2026-06-10 11:56:43 [http-nio-9329-exec-7] INFO  tracklogger - Create organisation request received | name=Orion Digital Solutions Pvt Ltd
2026-06-10 11:56:43 [http-nio-9329-exec-7] INFO  tracklogger - Organisation created successfully | id=2ef67c86-3a9d-4a9a-88ac-70e507db9e0b name=Orion Digital Solutions Pvt Ltd
2026-06-10 12:00:07 [http-nio-9329-exec-9] INFO  tracklogger - Creating entity metadata | orgId=8a578f7b-11f8-48c0-8267-eacb1279a319 entityType=Department
2026-06-10 12:00:07 [http-nio-9329-exec-9] INFO  tracklogger - Entity metadata created successfully | id=ddbc0cf9-5947-4bb1-83ee-dd3313522a98
2026-06-10 12:03:04 [http-nio-9329-exec-1] INFO  tracklogger - Creating entity metadata | orgId=2ef67c86-3a9d-4a9a-88ac-70e507db9e0b entityType=Branch
2026-06-10 12:03:04 [http-nio-9329-exec-1] INFO  tracklogger - Entity metadata created successfully | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:04:01 [http-nio-9329-exec-3] INFO  tracklogger - Fetching entity metadata | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-10 12:04:01 [http-nio-9329-exec-3] INFO  tracklogger - Entity metadata fetched successfully | totalElements=2
2026-06-10 12:05:18 [http-nio-9329-exec-5] INFO  tracklogger - Fetching entity metadata | id=ddbc0cf9-5947-4bb1-83ee-dd3313522a98
2026-06-10 12:05:18 [http-nio-9329-exec-5] INFO  tracklogger - Entity metadata fetched successfully | id=ddbc0cf9-5947-4bb1-83ee-dd3313522a98
2026-06-10 12:06:02 [http-nio-9329-exec-6] INFO  tracklogger - Fetching entity metadata | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:06:02 [http-nio-9329-exec-6] INFO  tracklogger - Entity metadata fetched successfully | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:07:53 [http-nio-9329-exec-8] INFO  tracklogger - Updating entity metadata | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:07:53 [http-nio-9329-exec-8] INFO  tracklogger - Entity metadata updated successfully | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:08:15 [http-nio-9329-exec-9] INFO  tracklogger - Fetching entity metadata | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:08:15 [http-nio-9329-exec-9] INFO  tracklogger - Entity metadata fetched successfully | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:08:53 [http-nio-9329-exec-10] INFO  tracklogger - Fetching entity metadata by entityType | entityType=Branch
2026-06-10 12:08:53 [http-nio-9329-exec-10] INFO  tracklogger - Entity metadata fetched successfully | entityType=Branch count=1
2026-06-10 12:09:04 [http-nio-9329-exec-1] INFO  tracklogger - Fetching entity metadata by entityType | entityType=Department
2026-06-10 12:09:04 [http-nio-9329-exec-1] INFO  tracklogger - Entity metadata fetched successfully | entityType=Department count=1
2026-06-10 12:10:15 [http-nio-9329-exec-3] INFO  tracklogger - Updating entity metadata | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:10:15 [http-nio-9329-exec-3] INFO  tracklogger - Entity metadata updated successfully | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:10:34 [http-nio-9329-exec-4] INFO  tracklogger - Updating entity metadata | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:10:34 [http-nio-9329-exec-4] INFO  tracklogger - Entity metadata updated successfully | id=aafa5547-d6b3-4bdc-9cb7-8bba40decd52
2026-06-10 12:26:04 [http-nio-9329-exec-6] INFO  tracklogger - Create organisation request received | name=NovaEdge Technologies Pvt Ltd
2026-06-10 12:26:05 [http-nio-9329-exec-6] INFO  tracklogger - Organisation created successfully | id=828f7417-3f59-4f88-a193-a75e9b86940e name=NovaEdge Technologies Pvt Ltd
2026-06-10 12:26:45 [http-nio-9329-exec-7] INFO  tracklogger - Creating entity metadata | orgId=828f7417-3f59-4f88-a193-a75e9b86940e entityType=Branch
2026-06-10 12:26:45 [http-nio-9329-exec-7] INFO  tracklogger - Entity metadata created successfully | id=1e423933-3b58-40f3-a2e9-68f64ff7e1e7
2026-06-10 12:28:34 [http-nio-9329-exec-9] INFO  tracklogger - Creating entity | orgId=828f7417-3f59-4f88-a193-a75e9b86940e metaId=1e423933-3b58-40f3-a2e9-68f64ff7e1e7
2026-06-10 12:28:34 [http-nio-9329-exec-9] INFO  tracklogger - Validating attributes against metadata template | metaId=1e423933-3b58-40f3-a2e9-68f64ff7e1e7
2026-06-10 12:28:34 [http-nio-9329-exec-9] INFO  tracklogger - Attributes validation passed | metaId=1e423933-3b58-40f3-a2e9-68f64ff7e1e7
2026-06-10 12:28:34 [http-nio-9329-exec-9] INFO  tracklogger - Entity created successfully | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:32:05 [http-nio-9329-exec-1] INFO  tracklogger - Fetching organisation entities | page=0 size=10 sortBy=null sortDir=null search=null
2026-06-10 12:32:05 [http-nio-9329-exec-1] INFO  tracklogger - Organisation entities fetched successfully | totalElements=1
2026-06-10 12:32:30 [http-nio-9329-exec-2] INFO  tracklogger - Fetching entity | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:32:30 [http-nio-9329-exec-2] INFO  tracklogger - Entity fetched successfully | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:34:50 [http-nio-9329-exec-4] INFO  tracklogger - Updating entity | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:34:50 [http-nio-9329-exec-4] INFO  tracklogger - Validating updated attributes against metadata template | metaId=1e423933-3b58-40f3-a2e9-68f64ff7e1e7
2026-06-10 12:34:50 [http-nio-9329-exec-4] ERROR tracklogger - Attributes validation failed – missing keys | missing=[branchCode, city, headCount, openingDate, regionalManager]
2026-06-10 12:35:23 [http-nio-9329-exec-5] INFO  tracklogger - Fetching entity | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:35:23 [http-nio-9329-exec-5] INFO  tracklogger - Entity fetched successfully | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:39:33 [http-nio-9329-exec-3] INFO  tracklogger - Updating entity | id=7ee9b230-92a4-4a93-a781-bae30d2c817d
2026-06-10 12:39:33 [http-nio-9329-exec-3] INFO  tracklogger - Validating updated attributes against metadata template | metaId=1e423933-3b58-40f3-a2e9-68f64ff7e1e7
2026-06-10 12:39:33 [http-nio-9329-exec-3] INFO  tracklogger - Attributes validation passed for update | metaId=1e423933-3b58-40f3-a2e9-68f64ff7e1e7
